nll,pi_aa,pi_ac,pi_ag,pi_at,pi_ca,pi_cc,pi_cg,pi_ct,pi_ga,pi_gc,pi_gg,pi_gt,pi_ta,pi_tc,pi_tg,pi_tt,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11
355384.597458698,0.08561,0.057301,0.06221,0.088496,0.057113,0.038713,0.040958,0.060929,0.059105,0.043503,0.041,0.060306,0.08907,0.065169,0.05898,0.091537,1.9013733103495583,0.7757566451162131,0.9556526762240084,0.8178357035910097,0.8796238342770858,2.983055035757377,3.933419719869401,0.9677212640220108,0.6451477500868408,0.8908119646874023,0.9802088562616621,0.668102272611457
363728.74484613666,0.08676,0.060534,0.059704,0.091497,0.058579,0.035208,0.041404,0.062128,0.065095,0.04278,0.036609,0.059906,0.09035,0.058239,0.061289,0.089918,4.349072302774168,1.9440740714039304,0.14398535482508767,0.08697128395185147,1.3129587456552603,2.04306243958097,1.5037913387946837,0.7612232029869506,0.31011317081501877,0.15041537069754432,2.401596096778003,1.5539146622380555
351078.1006505223,0.088189,0.060125,0.062879,0.088235,0.059288,0.038837,0.040616,0.060198,0.060004,0.038916,0.043892,0.055897,0.092624,0.063653,0.055703,0.090944,3.309593806424767,3.080448777701154,0.9000186343249253,0.23894630888958732,0.37843347228678753,1.7907821026346393,0.6859148884956322,0.3076315256523339,0.30316500671771773,0.45071724210081665,3.520037923503475,1.3820531950752892
366447.0075807268,0.087504,0.058864,0.065805,0.086309,0.060761,0.039623,0.03924,0.063865,0.057207,0.04217,0.043011,0.062127,0.086698,0.057912,0.060596,0.088308,2.0665578259389705,0.7386857254798634,0.8425682248769057,0.9133982775914234,1.3389858386160838,1.2314034830391332,0.9097343600559559,0.866709491543737,2.507045388171558,1.049262599172549,0.9761408560552166,2.170218033003926
374414.9236979323,0.08625,0.064197,0.059412,0.081917,0.060888,0.04249,0.041625,0.057398,0.058507,0.041401,0.045505,0.063892,0.087228,0.05847,0.058973,0.091847,2.4848621683455336,0.9788087713532533,1.0331453732578053,1.0193583782175135,1.1442903461327438,1.128655010503044,0.9792197248124027,1.4893006667199473,1.7855392677440338,1.2282985125837638,1.1423307793674773,1.6038149356476716
367528.81794573937,0.084442,0.056978,0.06212,0.092477,0.059904,0.040919,0.043003,0.054972,0.060694,0.037264,0.041807,0.061933,0.090499,0.056479,0.063685,0.092824,1.4137052857449202,1.957238140967332,1.2120641294673926,1.252717099776789,1.2118970438931105,1.212090650854822,1.2120657493771168,1.2119763452639791,1.2118967240912022,1.2120903722830567,1.2119979844100326,1.9179398242670491
360584.72199246427,0.086406,0.059301,0.060407,0.082703,0.059788,0.0427,0.037516,0.06192,0.059379,0.044191,0.047202,0.056868,0.088298,0.057127,0.061895,0.094299,2.258736684772597,1.07887923854082,0.5526012365740801,0.8053452743333442,0.4633799213882373,0.37347091710364577,1.8262358803225336,0.6947309380931054,0.7604891069431139,0.8202104378305209,1.0936214748507196,5.752893018080085
373780.9614555994,0.085326,0.061163,0.063344,0.08671,0.05709,0.040585,0.040594,0.061296,0.0606,0.04301,0.039902,0.064186,0.085803,0.061506,0.064765,0.08412,2.5274834274676103,1.1291570282551038,0.24567588175762875,0.38238097875654997,2.0721420138978575,1.3166098757892954,1.2085644591827938,0.21254829731698688,2.964474873434402,0.8812714962785544,1.3395697897950827,1.3213073858645723
364117.93422156665,0.089228,0.061401,0.061697,0.082986,0.061278,0.039327,0.038415,0.060975,0.060704,0.040605,0.042095,0.056503,0.093907,0.059421,0.061182,0.090276,2.76745180058686,1.6816569358717095,0.7583608202726994,2.417768105022174,7.815692216692673e-08,1.2204629685840258,2.2598129128824946,2.9671824189694234,0.43431278566446946,0.8763996743813979,1.1631295192723778,0.5620318719156293
356129.38536461466,0.087688,0.059109,0.065423,0.091391,0.056129,0.039801,0.04121,0.054784,0.062799,0.04191,0.045801,0.057533,0.089578,0.057974,0.061798,0.087072,1.8439958168797328,0.8857169783974278,2.214059445638417,0.6665800089318761,0.6884656140094438,2.0145883448570063,0.8888219713852628,0.8944739778210368,0.9442394202105001,1.3310941812245636,1.774822881679814,1.567160347061783
365656.1892850002,0.087355,0.059192,0.064491,0.08481,0.059105,0.039328,0.042691,0.060489,0.060887,0.041394,0.043503,0.062408,0.08275,0.058036,0.060715,0.092846,2.4813660670838398,5.0676404559701855e-08,0.33343393097065815,0.030607726242378386,2.3895544124756103e-08,4.421492869805243,0.9020112481213219,2.4001879077159427,0.1184103661218209,1.1100911659563235,3.4959519306773235,1.3686708838977477
367971.35417781636,0.088402,0.059018,0.060324,0.085463,0.061954,0.0396,0.041177,0.059988,0.062296,0.039916,0.046501,0.06319,0.08803,0.057003,0.059012,0.088126,1.9254435581196687,1.590117079314777,1.308922544252378,1.1995153716639895,1.1995153772968727,1.2770498815166937,1.1995152807803255,1.199515402952348,1.5235103771417038,1.1995152900351362,1.1995153067086117,1.199515322808954
348530.24014049204,0.081311,0.053611,0.062803,0.083888,0.054118,0.040506,0.045289,0.060774,0.06631,0.043393,0.041302,0.059893,0.0932,0.059397,0.061209,0.092996,4.455661816855637,0.9715422342147879,0.33936130063602865,1.4368304373360803,0.20065254764373117,3.043486451321475,0.8471096552489837,1.1142154291075097,0.5309405721519332,0.44553182293863386,2.3268482063845473,1.1371851134560569
375660.0556186976,0.088332,0.059734,0.058996,0.087118,0.061289,0.037812,0.039306,0.060346,0.058504,0.038919,0.044491,0.064389,0.082651,0.060506,0.063091,0.094516,1.350131587566128,1.350131587566128,1.350131587566128,1.350131587566128,1.350131587566128,1.3501323898168007,1.350131587566128,1.350131587566128,1.350131587566128,1.350131587566128,1.350131587566128,1.350131587566128
360304.87698161573,0.086387,0.059094,0.060799,0.089305,0.053204,0.043568,0.046002,0.055467,0.060282,0.040399,0.042896,0.064704,0.090276,0.05709,0.0607,0.089827,2.50121989066834,0.8030314741351172,1.1069922000330434,0.12352321042568605,1.1893329436087592,1.4229251166363026,1.1213055420011222,1.232416134532624,0.43072598091714975,0.5681797211664422,3.9753637103904644,1.6367415425206235
357847.3570698613,0.092058,0.052228,0.061019,0.087119,0.059737,0.036996,0.040098,0.063054,0.061105,0.04202,0.041599,0.058879,0.086712,0.060494,0.064503,0.092379,1.5741591414028555,1.940558214527246,0.21891339905375665,0.20398690724027851,1.5293218451201214e-06,1.7988958427508834,3.5288182456918786,1.9462327325495798,0.8746238911086162,0.8379046294357898,0.5833075075411362,2.9419582492534913
358182.5587690391,0.090785,0.058303,0.060999,0.088396,0.057599,0.040771,0.044106,0.058748,0.060193,0.039298,0.040471,0.062188,0.090342,0.0581,0.058132,0.091569,2.299797565350996,1.2402387642241866,2.085917250230891,0.20209946825713432,0.9819289270888562,1.8717994956864332,1.3361570124209077,0.38726902584701184,1.1937186891090168,1.1919757500308596,1.9751024766388996,0.7761026087870527
364900.7183802069,0.086195,0.057398,0.064912,0.091489,0.058309,0.039394,0.044466,0.05811,0.063322,0.042508,0.041901,0.061871,0.08,0.060005,0.063019,0.087101,1.9538308455792,1.6774708135711651,1.545499472716503,1.0323349723801154,1.4900971573365005,1.0051061430416712,1.6660142153668853,0.9350903190847972,1.2305607349990808,1.001621202647604,0.9135750911174046,1.491549468745616
368178.8940958869,0.081432,0.058357,0.062785,0.088198,0.057401,0.037115,0.041472,0.060596,0.059799,0.039307,0.042497,0.062306,0.088281,0.063858,0.065042,0.091554,2.7051957110898632,0.8401724749183335,2.4616172085189665,0.2705361776825301,0.42288572958426024,1.179057269862414,0.8215848152059515,1.5576680853559246,0.38663620390907555,2.137309064122763,2.3664175576035036,0.8829672090243597
361674.68626203533,0.088901,0.0593,0.057492,0.088609,0.057772,0.040823,0.042,0.059699,0.06189,0.042601,0.041702,0.062193,0.087807,0.05839,0.059506,0.091315,2.9828699020533938,0.358237949697781,3.641957947835329,1.2137950846049026,1.1803398699639054,1.5090919146380182,0.907929466624001,0.2531554838516811,1.0689523451601264,0.3747570553229423,1.3062533065978552,0.17089509594684404
361980.6726700652,0.088581,0.059404,0.064598,0.090884,0.05622,0.038888,0.045296,0.057767,0.060115,0.043068,0.042505,0.060514,0.079498,0.06172,0.062718,0.088224,2.0000706755553725,1.3136494506585015,1.5435785740699286,1.2269471035448343,0.7174378986070429,0.6570802110699422,0.4174006040835849,1.6146543934870008,2.3598135964972626,0.9485158572088515,1.4943864649320093,1.1757925395175457
370384.8760818727,0.086498,0.0614,0.062292,0.088626,0.055307,0.035995,0.044446,0.057335,0.061931,0.041395,0.040608,0.065587,0.08279,0.06377,0.06266,0.08936,2.134630855987002,1.2547669651041131,1.2498358775820386,1.2049868019361338,1.2687861346155493,1.2204924724718822,1.2486316575604215,1.6935586326069825,1.222189793291024,1.2476688561156652,1.2701839767604264,1.2387562420430698
375969.4005221849,0.088039,0.05933,0.059699,0.089114,0.062178,0.035913,0.039892,0.060726,0.061589,0.037692,0.041717,0.062709,0.083077,0.061095,0.064811,0.092419,1.9949399530303773,2.0155579098579275,0.6932167171477299,1.6279537788379308,0.641811267612697,0.7756642844741459,2.1243358818475353,1.7711654060288418,0.5946280004396742,2.753398915913482,0.7828819591872256,1.7184611884915877
363803.53328882885,0.085705,0.058762,0.062909,0.088216,0.056799,0.037382,0.042297,0.059009,0.060294,0.040388,0.044106,0.062906,0.090006,0.060621,0.061588,0.089012,3.4499997080118803,2.0851659443314157,0.9290145487355367,1.1349403053975158,0.9754245878143751,2.698669735986045,1.4392662803729923,0.8814798082374204,3.093645972947426e-05,0.6046511320817742,1.72443583733009,0.8430927908417694
366179.98905979336,0.091164,0.062358,0.06399,0.086939,0.059362,0.03798,0.041513,0.059536,0.061095,0.04571,0.041603,0.059887,0.086109,0.056949,0.060408,0.085397,3.544615891864421,0.02951719876748249,1.1438089879834297,0.388213728774068,0.9267156657788324,2.635188812932263,1.7248067496986965,0.8030334200408756,0.7314326326672111,1.6434100547831134,1.908710791969474,0.9260267389884406
363496.62488777685,0.089185,0.057099,0.064886,0.083914,0.066259,0.037909,0.039404,0.058322,0.060509,0.041891,0.039203,0.059006,0.092599,0.063113,0.0571,0.089601,2.3176016899028866,0.6597413279415641,1.5950308318480846,0.6728440268770406,1.833578110937009,1.3168595784003165,1.3196272370000066,1.1520019730731392,0.9264194799264422,0.8199750696726291,2.170528672431921,1.1382309963383725
364154.16546862066,0.088781,0.056994,0.060407,0.084111,0.058926,0.04106,0.041768,0.064381,0.06155,0.043408,0.042495,0.064292,0.089596,0.05645,0.060034,0.085747,3.496672938575383,0.9619400014114883,1.2560860819707542,1.2767029616611878,0.16814932719107295,2.207768482662952,1.2073021734909828,1.9813486169403707,0.9950247561454353,0.09560832048576266,1.1981787519083664,1.094726266158675
373207.4652602299,0.086491,0.058878,0.060217,0.08119,0.062965,0.039624,0.039992,0.063001,0.059893,0.043989,0.042199,0.059921,0.088517,0.058999,0.065413,0.088711,4.293444321477025,1.4830339979285367,0.2326064219572909,1.0391121934757874,1.036892815656763,0.9027968177189474,1.8155448006095516,1.2467733884609327,0.7039926721501208,1.4028428611217318,1.353755478949487,1.455536290678902
366918.8339207683,0.083898,0.056817,0.062057,0.088158,0.059794,0.040203,0.039296,0.062482,0.061883,0.040893,0.039694,0.062626,0.088707,0.058253,0.063394,0.091845,3.9395855938140047,1.1045893536809566,1.3793878369800534,3.1289577398232615e-07,5.488453827424544e-09,1.1941818458196383,1.247386836808443,3.213708268445504,6.425879630562332e-06,0.8805813197087471,1.1961768779030073,2.168611993487363
368012.35640870634,0.087101,0.06167,0.058927,0.089616,0.055841,0.037559,0.040907,0.059679,0.063509,0.041897,0.043697,0.05949,0.083879,0.060636,0.065777,0.089815,1.3491386205900744,1.3491386205900744,1.3491386373696606,1.3491386205900744,1.3491386205900744,1.3491386205900744,1.3491386213532108,1.3491386217114392,1.3491386205900744,1.3491386205900744,1.3491386205900744,1.3491386340417815
363414.0624019513,0.086193,0.059806,0.062187,0.088716,0.056974,0.043024,0.043026,0.063512,0.055299,0.041998,0.0434,0.06219,0.085753,0.059266,0.061481,0.087175,2.0940084196630115,1.4673678315728942,1.2393942985261577,0.39462152239531695,1.0475596811179975,2.0499632307928164,1.9275322749635728,0.6623578428180186,0.8124957493853443,1.7008710081574174,1.324744282744875,1.5377568936797472
369118.31682257977,0.083314,0.054596,0.061224,0.089671,0.061176,0.039389,0.042444,0.061827,0.061881,0.039394,0.042058,0.065726,0.087591,0.062384,0.062842,0.084483,4.205452565977438,0.5375089418441362,1.5878145018906922,0.6427831869868182,0.6037738561757224,0.5534340572101328,0.5755629590554071,3.4893410565580107,0.5317261935477362,0.5393397353410251,2.2519530638659413,0.5481472733523897
359557.98009221564,0.084569,0.058672,0.061698,0.090223,0.057025,0.042299,0.039697,0.058849,0.0605,0.041014,0.040597,0.062499,0.090621,0.062935,0.058618,0.090184,1.8057400075080057,2.037965007918864,0.7979047239271149,1.8656550751588128,0.9940035717074012,1.2361931421311234,1.525132042578526,1.1119174846994542,1.2673123709390246,1.3606076138042449,2.3907065395385003,0.26912288857848254
369685.47150472284,0.084882,0.059288,0.058228,0.088909,0.058905,0.041476,0.041282,0.058027,0.061483,0.043204,0.039599,0.063212,0.087921,0.063615,0.062698,0.087271,1.3485561369749386,1.3485561369749386,1.3485561369749386,1.3485561369749386,1.348556137855672,1.3485561375741073,1.348556137270939,1.3485561687009728,1.3485561369749386,1.348556137216881,1.3485561369749386,1.3485561562912363
366587.6839118381,0.088642,0.055699,0.059408,0.087709,0.06114,0.04018,0.038651,0.065892,0.057505,0.041523,0.042994,0.057979,0.087725,0.059371,0.067249,0.088333,5.6213053692486366,1.6724033885972631,0.28312392442990947,0.38716598633007676,1.7007501038568897,2.6412462365112086,0.9056905374105821,0.31647834801979596,0.3348493517902206,0.2946692606953101,1.214657338697551,1.1691368509522857
371298.5203812078,0.093506,0.05942,0.05922,0.086865,0.057393,0.039111,0.040482,0.057493,0.062109,0.040923,0.042679,0.063391,0.083157,0.059464,0.064983,0.089804,1.3497220455561165,1.349737285561822,1.3497297128424834,1.3497285479911152,1.3497512643862493,1.34972651320534,1.3497258741188123,1.3497662655323566,1.3497131639370354,1.3496911030158822,1.3497604187752745,1.3497295440221249
370859.9974346265,0.085535,0.062063,0.062003,0.089816,0.059106,0.038574,0.041205,0.057201,0.0566,0.039794,0.045202,0.062203,0.086083,0.060555,0.061987,0.092073,1.878075598915551,1.1560526886477696,1.1639330832257564,1.2363500630476716,1.2175081526578277,1.577538380583948,1.5347257547632922,1.2947356034155726,1.2252589404033336,1.303918814530916,1.420175173981238,1.300255300811336
355953.3956858494,0.08622,0.054579,0.062134,0.097136,0.059023,0.03794,0.042572,0.058915,0.0596,0.041317,0.043722,0.058225,0.085808,0.059313,0.061972,0.091524,3.128658531945051,1.2315570419157933,1.125577118147062,0.4011831364966558,0.20929667117924444,0.2940708540769258,1.8454531740961504,1.4584494672210278,2.528773535447458,0.7786926420752286,1.6656918725653744,0.6825844536224215
356237.92271051084,0.086398,0.058401,0.063786,0.088402,0.053724,0.041587,0.0416,0.060538,0.059866,0.039711,0.042077,0.063553,0.091311,0.062493,0.058698,0.087855,2.6326605616945105,1.593837422920215,1.3254798418119484,1.3480577162797125,0.700018216952578,1.9051055245291124,0.9065530225666772,1.2588891807643119,1.554920646634606,0.8739154687014015,1.5478344822379728,0.34287499662148724
353435.9041042933,0.086684,0.055789,0.057987,0.091105,0.056333,0.042185,0.041198,0.059792,0.062497,0.040386,0.045099,0.0593,0.086705,0.061246,0.061618,0.092076,3.223280182700899,0.25468916989727913,0.21898022864909203,0.5985088612481703,0.005749746141157025,3.4439768822017895,1.9663479657346403,0.2393162829756561,1.5684125949888774,0.5490603454107635,3.8423493670371096,0.24728151158517087
363383.3091779985,0.084681,0.058931,0.061549,0.093869,0.060463,0.038813,0.041206,0.062141,0.057738,0.040909,0.043497,0.062283,0.087131,0.057016,0.058046,0.091727,1.350346216288585,1.3503462163316358,1.3503462162585365,1.3503462162585365,1.3503462162585365,1.3503462162585365,1.3503462162585365,1.3503462165258395,1.350346216372474,1.3503462162585365,1.3503462162585365,1.3503462162585365
373802.88481275213,0.0834,0.057088,0.060894,0.087685,0.062285,0.035866,0.041714,0.060516,0.060731,0.040717,0.043103,0.062542,0.088499,0.059916,0.065761,0.089283,1.7942114122191266,0.8178899097910862,1.8103619753448055,1.5083612753876066,0.8809987282149183,1.26161091258204,0.9429024113406196,1.65760989853437,0.8178773201021017,1.425276966333908,1.901684265417096,1.4890814386685265
359056.610224132,0.0859,0.058404,0.061205,0.08745,0.054216,0.038718,0.039845,0.058316,0.059112,0.044403,0.040798,0.061786,0.093971,0.0619,0.061979,0.091997,3.5447491289442006,3.1483533293265817,0.0,5.7510037952971315e-06,0.9568441833347752,2.856330652897879,0.707395096705805,1.9478307020178869,0.5343631130913136,0.5685953681437292,1.3126805891624025,1.0368885700874118
364781.9229978245,0.090595,0.061571,0.059606,0.086335,0.056517,0.040096,0.044678,0.062597,0.061703,0.043499,0.042317,0.060093,0.092701,0.0522,0.062881,0.082611,1.374029508246012,1.3485606172677191,1.3424392115101214,1.3426346520999846,1.3428217364840265,1.3427277181600352,1.3425595113329292,1.3425754570194943,1.3456282801451065,1.3430841452743443,1.3422999732907073,1.3702116968833897
354788.4742178398,0.086365,0.054516,0.061998,0.088745,0.059264,0.043045,0.041696,0.061282,0.059402,0.040907,0.045101,0.059388,0.089782,0.059453,0.060612,0.088444,1.666659657345343,0.7422314271695253,1.0425118702538445,0.9925820702752242,0.07755998854018449,0.6547052986757953,0.8698031110287062,0.7541679874957192,1.1326572018850398,2.3502970448444107,4.6800934123582945,1.7418177852139922
371912.80726213986,0.087663,0.057114,0.059404,0.082225,0.061186,0.038988,0.040796,0.064441,0.064798,0.042488,0.038696,0.063203,0.081912,0.059494,0.064266,0.093326,2.13608750873672,0.7441710124204097,1.4222472959066002,0.3780836780690925,1.8823833467438755,0.7597297145200277,1.3925553232972756,1.027515767010389,0.9331601722963643,0.2060811152395343,4.344308379946313,0.5280293244052142
361117.9258594433,0.088185,0.054986,0.060689,0.084604,0.058833,0.040028,0.045493,0.063499,0.058005,0.039799,0.041696,0.065602,0.085821,0.063685,0.058507,0.090568,2.311837223364211,1.1833067218118682,0.7186145026142965,1.7864103244401577,1.7453766022081227,1.2764233932603335,1.4295935922977596,1.3864395618679233,1.1422305602755356,0.8221339714854888,1.462571288335126,1.24184058114011
370698.1370612476,0.081802,0.061327,0.057914,0.086814,0.058889,0.038413,0.040374,0.061012,0.060481,0.043401,0.041002,0.064127,0.094495,0.056859,0.060424,0.092666,4.788845693146161,2.431483726237645e-09,1.2650092686002825,0.6963819654424124,0.6969783469038503,1.3918987871180954,1.9969169201319084,1.3211763519913948,0.4831651968513523,0.31321713065629353,2.690463241435071,0.6502584094536895
368161.30136078456,0.083973,0.062012,0.05817,0.086811,0.058301,0.041304,0.039601,0.060918,0.060015,0.041692,0.042796,0.056097,0.094916,0.06085,0.06703,0.085514,2.710735514612296,1.6989244268533437,1.490000310511523,2.0714079830322714,0.24714704678625307,0.6205753204850767,0.5818901529004906,0.8818594977854369,1.3566560548080377,0.2298636060583177,2.3127938595723636,1.9693005308274432
